source,target,peso
vamos,vamos,50
ciencia,tecnología,47
calidad,vamos,43
desarrollo,innovación,39
mejorar,vamos,39
desarrollo,vamos,38
emprendimiento,innovación,38
avanzar,vamos,37
sistema,vamos,36
calidad,mejorar,34
ley,proyecto,34
calidad,vida,33
mundo,vamos,33
acceso,vamos,32
promover,vamos,32
nuevas,tecnologías,31
vamos,vida,31
artificial,inteligencia,30
fuerzas,vamos,30
innovación,productividad,29
especial,vamos,28
ley,vamos,28
congreso,ley,27
desarrollo,investigación,27
desarrollo,promover,27
fibra,óptica,27
además,vamos,26
calidad,fuerzas,25
economía,innovación,25
armadas,fuerzas,24
armadas,vamos,24
ciudadanos,vamos,24
impulsar,vamos,24
innovación,recursos,24
internet,través,24
acceso,desarrollo,23
además,digital,23
crecimiento,innovación,23
desarrollo,mundo,23
fortalecer,vamos,23
servicios,vamos,23
sociedad,vamos,23
campo,vamos,22
conocimiento,tecnología,22
deportistas,vamos,22
digital,materia,22
digital,mundo,22
digital,proyecto,22
digital,vamos,22
precios,vamos,22
red,vamos,22
revolución,tecnológica,22
congreso,proyecto,21
cultura,vamos,21
deporte,vamos,21
desarrollo,desarrollo,21
digital,ley,21
energía,necesitamos,21
fuerzas,mejorar,21
innovación,tecnología,21
ley,sistema,21
parques,vamos,21
reforma,vamos,21
sistema,través,21
armadas,calidad,20
avanzar,desarrollo,20
calidad,educación,20
ciudadanos,digital,20
derechos,vamos,20
digital,modernizar,20
digital,puerto,20
proyecto,vamos,20
regiones,vamos,20
sino,vamos,20
calidad,sistema,19
ciudadanos,mejorar,19
defensa,vamos,19
desarrollo,fortalecer,19
desarrollo,sistema,19
fuerza,vamos,19
innovación,innovación,19
intereses,vamos,19
montt,puerto,19
protección,vamos,19
solamente,vamos,19
través,vamos,19
calidad,ciudadanos,18
ciencia,conocimiento,18
ciencia,innovación,18
civil,vamos,18
conectividad,digital,18
congreso,digital,18
digital,siglo,18
eficacia,vamos,18
energía,energía,18
fibra,puerto,18
hacia,vamos,18
innovación,inversión,18
innovación,programas,18
mejorar,sistema,18
mejorar,vida,18
nuevo,sistema,18
seguir,vamos,18
óptica,puerto,18
ampliar,digital,17
atención,primaria,17
ciudadanos,ley,17
ciudadanos,modernizar,17
civil,fuerzas,17
desarrollo,digital,17
desarrollo,ley,17
desarrollo,nuevo,17
desarrollo,través,17
educación,educación,17
energía,generación,17
establecer,vamos,17
información,tecnologías,17
innovación,mejores,17
internet,red,17
ley,materia,17
mundo,tecnología,17
nuevo,vamos,17
políticas,vamos,17
programa,través,17
sino,sólo,17
actual,vamos,16
además,ley,16
además,mundo,16
además,regiones,16
agenda,innovación,16
agua,aguas,16
armadas,mejorar,16
calidad,través,16
ciencia,desarrollo,16
computadores,internet,16
conocimiento,innovación,16
desarrollo,inversión,16
digital,infraestructura,16
digital,sociedad,16
digital,transparencia,16
eficacia,fuerzas,16
innovación,nueva,16
ley,nueva,16
materia,tecnología,16
nueva,vamos,16
públicos,vamos,16
trabajo,vamos,16
acceso,internet,15
además,desarrollo,15
además,tecnología,15
agenda,digital,15
cada,tecnología,15
calidad,civil,15
calidad,eficacia,15
calidad,ley,15
calidad,públicos,15
ciudadanos,fuerzas,15
ciudadanos,vida,15
compromiso,desarrollo,15
crear,innovación,15
cultura,desarrollo,15
desarrollo,países,15
desarrollo,tecnología,15
digital,internet,15
digital,rostro,15
empresas,innovación,15
empresas,internet,15
fuerzas,sistema,15
fuerzas,vida,15
información,través,15
innovación,investigación,15
innovación,nuevas,15
innovación,nuevos,15
ley,mejorar,15
ley,modernizar,15
litio,producción,15
modernizar,vamos,15
plan,vamos,15
recursos,tecnología,15
respecto,vamos,15
sistema,sistema,15
través,través,15
acceso,red,14
además,ello,14
además,proyecto,14
ampliar,vamos,14
armadas,civil,14
avanzar,mundo,14
avanzar,sistema,14
bienes,vamos,14
calidad,red,14
computadores,red,14
crecimiento,productividad,14
digital,futuro,14
