año,token_principal,ngrama,freq_conjunta
2003,acceder,internet,6
2003,acceder,tecnologías,6
2003,acceder,ciudadanos,4
2003,acceder,computadores,4
2003,acceder,digital,4
2012,acceder,internet,3
2012,acceder,tecnologías,3
2012,acceder,ciudadanos,2
2012,acceder,computadores,2
2012,acceder,digital,2
2013,acceder,internet,3
2013,acceder,tecnologías,3
2013,acceder,ciudadanos,2
2013,acceder,computadores,2
2013,acceder,digital,2
2020,acceder,internet,3
2020,acceder,tecnologías,3
2020,acceder,ciudadanos,2
2020,acceder,computadores,2
2020,acceder,digital,2
1996,acceso,vamos,64
1996,acceso,desarrollo,46
1996,acceso,internet,30
1996,acceso,red,28
1996,acceso,digital,26
1997,acceso,vamos,32
1997,acceso,desarrollo,23
1997,acceso,internet,15
1997,acceso,red,14
1997,acceso,digital,13
2000,acceso,vamos,160
2000,acceso,desarrollo,115
2000,acceso,internet,75
2000,acceso,red,70
2000,acceso,digital,65
2002,acceso,vamos,32
2002,acceso,desarrollo,23
2002,acceso,internet,15
2002,acceso,red,14
2002,acceso,digital,13
2004,acceso,vamos,64
2004,acceso,desarrollo,46
2004,acceso,internet,30
2004,acceso,red,28
2004,acceso,digital,26
2006,acceso,vamos,64
2006,acceso,desarrollo,46
2006,acceso,internet,30
2006,acceso,red,28
2006,acceso,digital,26
2007,acceso,vamos,32
2007,acceso,desarrollo,23
2007,acceso,internet,15
2007,acceso,red,14
2007,acceso,digital,13
2008,acceso,vamos,32
2008,acceso,desarrollo,23
2008,acceso,internet,15
2008,acceso,red,14
2008,acceso,digital,13
2009,acceso,vamos,32
2009,acceso,desarrollo,23
2009,acceso,internet,15
2009,acceso,red,14
2009,acceso,digital,13
2010,acceso,vamos,64
2010,acceso,desarrollo,46
2010,acceso,internet,30
2010,acceso,red,28
2010,acceso,digital,26
2013,acceso,vamos,32
2013,acceso,desarrollo,23
2013,acceso,internet,15
2013,acceso,red,14
2013,acceso,digital,13
2014,acceso,vamos,32
2014,acceso,desarrollo,23
2014,acceso,internet,15
2014,acceso,red,14
2014,acceso,digital,13
2016,acceso,vamos,64
2016,acceso,desarrollo,46
2016,acceso,internet,30
2016,acceso,red,28
2016,acceso,digital,26
2017,acceso,vamos,32
2017,acceso,desarrollo,23
2017,acceso,internet,15
2017,acceso,red,14
2017,acceso,digital,13
2018,acceso,vamos,192
2018,acceso,desarrollo,138
2018,acceso,internet,90
2018,acceso,red,84
2018,acceso,digital,78
2019,acceso,vamos,64
2019,acceso,desarrollo,46
2019,acceso,internet,30
2019,acceso,red,28
2019,acceso,digital,26
2020,acceso,vamos,64
2020,acceso,desarrollo,46
2020,acceso,internet,30
2020,acceso,red,28
2020,acceso,digital,26
2022,acceso,vamos,128
2022,acceso,desarrollo,92
2022,acceso,internet,60
2022,acceso,red,56
2022,acceso,digital,52
2023,acceso,vamos,64
2023,acceso,desarrollo,46
2023,acceso,internet,30
2023,acceso,red,28
2023,acceso,digital,26
1996,acción,inteligencia,9
1996,acción,artificial,6
1996,acción,personas,4
1996,acción,haciendo,3
1996,acción,nuevas,3
2004,acción,inteligencia,9
2004,acción,artificial,6
2004,acción,personas,4
2004,acción,haciendo,3
2004,acción,nuevas,3
2015,acción,inteligencia,9
2015,acción,artificial,6
2015,acción,personas,4
2015,acción,haciendo,3
2015,acción,nuevas,3
2017,acción,inteligencia,9
2017,acción,artificial,6
2017,acción,personas,4
2017,acción,haciendo,3
2017,acción,nuevas,3
2018,acción,inteligencia,9
2018,acción,artificial,6
2018,acción,personas,4
2018,acción,haciendo,3
2018,acción,nuevas,3
2023,acción,inteligencia,9
2023,acción,artificial,6
2023,acción,personas,4
2023,acción,haciendo,3
2023,acción,nuevas,3
2024,acción,inteligencia,18
2024,acción,artificial,12
2024,acción,personas,8
2024,acción,haciendo,6
2024,acción,nuevas,6
2012,actual,vamos,16
2012,actual,calidad,12
2012,actual,mejorar,11
2012,actual,sistema,11
2012,actual,fuerzas,10
2018,actual,vamos,64
2018,actual,calidad,48
2018,actual,mejorar,44
2018,actual,sistema,44
2018,actual,fuerzas,40
2019,actual,vamos,16
2019,actual,calidad,12
2019,actual,mejorar,11
2019,actual,sistema,11
2019,actual,fuerzas,10
2022,actual,vamos,16
2022,actual,calidad,12
2022,actual,mejorar,11
2022,actual,sistema,11
2022,actual,fuerzas,10
2018,acuerdo,codelco,6
2018,acuerdo,hacerlo,6
2018,acuerdo,queríamos,6
2018,acuerdo,además,4
2018,acuerdo,barreras,4
2023,acuerdo,codelco,6
2023,acuerdo,hacerlo,6
2023,acuerdo,queríamos,6
2023,acuerdo,además,4
2023,acuerdo,barreras,4
2024,acuerdo,codelco,3
2024,acuerdo,hacerlo,3
2024,acuerdo,queríamos,3
2024,acuerdo,además,2
2024,acuerdo,barreras,2
2001,adelante,calidad,6
2001,adelante,sistema,6
2001,adelante,través,6
2001,adelante,vamos,6
2001,adelante,fuerzas,5
2009,adelante,calidad,6
2009,adelante,sistema,6
2009,adelante,través,6
2009,adelante,vamos,6
2009,adelante,fuerzas,5
2010,adelante,calidad,6
2010,adelante,sistema,6
2010,adelante,través,6
2010,adelante,vamos,6
2010,adelante,fuerzas,5
2012,adelante,calidad,6
2012,adelante,sistema,6
2012,adelante,través,6
2012,adelante,vamos,6
2012,adelante,fuerzas,5
2018,adelante,calidad,12
2018,adelante,sistema,12
2018,adelante,través,12
2018,adelante,vamos,12
2018,adelante,fuerzas,10
2022,adelante,calidad,6
2022,adelante,sistema,6
2022,adelante,través,6
2022,adelante,vamos,6
2022,adelante,fuerzas,5
2025,adelante,calidad,6
2025,adelante,sistema,6
2025,adelante,través,6
2025,adelante,vamos,6
2025,adelante,fuerzas,5
2001,además,vamos,26
2001,además,digital,23
2001,además,ley,16
2001,además,mundo,16
2001,además,regiones,16
2004,además,vamos,52
2004,además,digital,46
2004,además,ley,32
2004,además,mundo,32
2004,además,regiones,32
2006,además,vamos,52
2006,además,digital,46
2006,además,ley,32
2006,además,mundo,32
2006,además,regiones,32
2007,además,vamos,52
2007,además,digital,46
2007,además,ley,32
2007,además,mundo,32
2007,además,regiones,32
2008,además,vamos,52
2008,además,digital,46
2008,además,ley,32
2008,además,mundo,32
2008,además,regiones,32
2009,además,vamos,52
2009,además,digital,46
2009,además,ley,32
2009,además,mundo,32
2009,además,regiones,32
2010,además,vamos,52
2010,además,digital,46
2010,además,ley,32
2010,además,mundo,32
2010,además,regiones,32
2011,además,vamos,26
2011,además,digital,23
2011,además,ley,16
2011,además,mundo,16
2011,además,regiones,16
2012,además,vamos,52
2012,además,digital,46
2012,además,ley,32
2012,además,mundo,32
2012,además,regiones,32
2013,además,vamos,26
2013,además,digital,23
2013,además,ley,16
2013,además,mundo,16
2013,además,regiones,16
2014,además,vamos,78
2014,además,digital,69
2014,además,ley,48
2014,además,mundo,48
2014,además,regiones,48
2015,además,vamos,52
2015,además,digital,46
2015,además,ley,32
2015,además,mundo,32
2015,además,regiones,32
2016,además,vamos,130
2016,además,digital,115
2016,además,ley,80
2016,además,mundo,80
2016,además,regiones,80
2017,además,vamos,78
2017,además,digital,69
2017,además,ley,48
2017,además,mundo,48
2017,además,regiones,48
2018,además,vamos,156
2018,además,digital,138
2018,además,ley,96
2018,además,mundo,96
2018,además,regiones,96
2019,además,vamos,52
2019,además,digital,46
2019,además,ley,32
2019,además,mundo,32
2019,además,regiones,32
2020,además,vamos,26
2020,además,digital,23
2020,además,ley,16
2020,además,mundo,16
2020,además,regiones,16
2023,además,vamos,182
2023,además,digital,161
2023,además,ley,112
2023,además,mundo,112
2023,además,regiones,112
2024,además,vamos,156
2024,además,digital,138
2024,además,ley,96
2024,además,mundo,96
2024,además,regiones,96
2025,además,vamos,130
2025,además,digital,115
2025,además,ley,80
2025,además,mundo,80
2025,además,regiones,80
2011,adicionalmente,embalses,12
2011,adicionalmente,emprendimiento,12
2011,adicionalmente,ley,12
2011,adicionalmente,plan,12
2011,adicionalmente,puerto,12
2012,adicionalmente,embalses,6
2012,adicionalmente,emprendimiento,6
2012,adicionalmente,ley,6
2012,adicionalmente,plan,6
2012,adicionalmente,puerto,6
2013,adicionalmente,embalses,3
2013,adicionalmente,emprendimiento,3
2013,adicionalmente,ley,3
2013,adicionalmente,plan,3
2013,adicionalmente,puerto,3
2014,adicionalmente,embalses,3
2014,adicionalmente,emprendimiento,3
2014,adicionalmente,ley,3
2014,adicionalmente,plan,3
2014,adicionalmente,puerto,3
2019,adicionalmente,embalses,3
2019,adicionalmente,emprendimiento,3
2019,adicionalmente,ley,3
2019,adicionalmente,plan,3
2019,adicionalmente,puerto,3
2021,adicionalmente,embalses,3
2021,adicionalmente,emprendimiento,3
2021,adicionalmente,ley,3
2021,adicionalmente,plan,3
2021,adicionalmente,puerto,3
2010,administración,vamos,8
2010,administración,además,4
2010,administración,desarrollo,4
2010,administración,servicios,4
2010,administración,áreas,4
2013,administración,vamos,8
2013,administración,además,4
2013,administración,desarrollo,4
2013,administración,servicios,4
2013,administración,áreas,4
2014,administración,vamos,8
2014,administración,además,4
2014,administración,desarrollo,4
2014,administración,servicios,4
2014,administración,áreas,4
2018,administración,vamos,8
2018,administración,además,4
2018,administración,desarrollo,4
2018,administración,servicios,4
2018,administración,áreas,4
2025,administración,vamos,8
2025,administración,además,4
2025,administración,desarrollo,4
2025,administración,servicios,4
2025,administración,áreas,4
2011,aeropuertos,digital,11
2011,aeropuertos,modernizar,8
2011,aeropuertos,puertos,7
2011,aeropuertos,además,6
2011,aeropuertos,ampliar,6
2017,aeropuertos,digital,11
2017,aeropuertos,modernizar,8
2017,aeropuertos,puertos,7
2017,aeropuertos,además,6
2017,aeropuertos,ampliar,6
2018,aeropuertos,digital,22
2018,aeropuertos,modernizar,16
2018,aeropuertos,puertos,14
2018,aeropuertos,además,12
2018,aeropuertos,ampliar,12
2020,aeropuertos,digital,11
2020,aeropuertos,modernizar,8
2020,aeropuertos,puertos,7
2020,aeropuertos,además,6
2020,aeropuertos,ampliar,6
2011,agencia,civil,6
2011,agencia,fuerzas,6
2011,agencia,sistema,6
2011,agencia,vamos,6
2011,agencia,armadas,5
2012,agencia,civil,6
2012,agencia,fuerzas,6
2012,agencia,sistema,6
2012,agencia,vamos,6
2012,agencia,armadas,5
2018,agencia,civil,6
2018,agencia,fuerzas,6
2018,agencia,sistema,6
2018,agencia,vamos,6
2018,agencia,armadas,5
2021,agencia,civil,6
2021,agencia,fuerzas,6
2021,agencia,sistema,6
2021,agencia,vamos,6
2021,agencia,armadas,5
2023,agencia,civil,6
2023,agencia,fuerzas,6
2023,agencia,sistema,6
2023,agencia,vamos,6
2023,agencia,armadas,5
2007,agenda,innovación,16
2007,agenda,digital,15
2007,agenda,ley,12
2007,agenda,además,10
2007,agenda,congreso,10
2010,agenda,innovación,32
2010,agenda,digital,30
2010,agenda,ley,24
2010,agenda,además,20
2010,agenda,congreso,20
2011,agenda,innovación,16
2011,agenda,digital,15
2011,agenda,ley,12
2011,agenda,además,10
2011,agenda,congreso,10
2012,agenda,innovación,16
2012,agenda,digital,15
2012,agenda,ley,12
2012,agenda,además,10
2012,agenda,congreso,10
2014,agenda,innovación,112
2014,agenda,digital,105
2014,agenda,ley,84
2014,agenda,además,70
2014,agenda,congreso,70
2015,agenda,innovación,16
2015,agenda,digital,15
2015,agenda,ley,12
2015,agenda,además,10
2015,agenda,congreso,10
2016,agenda,innovación,16
2016,agenda,digital,15
2016,agenda,ley,12
2016,agenda,además,10
2016,agenda,congreso,10
2017,agenda,innovación,16
2017,agenda,digital,15
2017,agenda,ley,12
2017,agenda,además,10
2017,agenda,congreso,10
2018,agenda,innovación,64
2018,agenda,digital,60
2018,agenda,ley,48
2018,agenda,además,40
2018,agenda,congreso,40
2023,agenda,innovación,16
2023,agenda,digital,15
2023,agenda,ley,12
2023,agenda,además,10
2023,agenda,congreso,10
2006,agricultores,desarrollo,9
2006,agricultores,comunales,6
2006,agricultores,gobiernos,6
2006,agricultores,nuevo,6
2006,agricultores,regionales,6
2014,agricultores,desarrollo,9
2014,agricultores,comunales,6
2014,agricultores,gobiernos,6
2014,agricultores,nuevo,6
2014,agricultores,regionales,6
2018,agricultores,desarrollo,18
2018,agricultores,comunales,12
2018,agricultores,gobiernos,12
2018,agricultores,nuevo,12
2018,agricultores,regionales,12
