token,freq_total,n_derecha,n_izquierda,prop_derecha,feenberg_dominante,prop_instrumentalismo,prop_determinismo,prop_sustantivismo,prop_teoria_critica,construccion_dominante,narrativa_dominante,prop_instr_narrativa,prop_det_optimista,prop_det_pesimista,prop_solucionismo,prop_tecnopoder,dominio_dominante
"0,2",1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
"0,6",3,1,2,0.3333333333333333,INSTRUMENTALISMO,0.6666666666666666,0.3333333333333333,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0.3333333333333333,0,0.6666666666666666,0,ciencia_innovacion
"0,7",2,1,1,0.5,DETERMINISMO TECNOLÓGICO,0.5,0.5,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,ciencia_innovacion
"1,2",3,2,1,0.6666666666666666,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0.3333333333333333,0,0.6666666666666666,0,ciencia_innovacion
"1,3",1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,infraestructura
"1,5",2,1,1,0.5,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,ciencia_innovacion
1.000,2,0,2,0,DETERMINISMO TECNOLÓGICO,0,1,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,ciencia_innovacion
1.480,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,agricultura
1.500,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
10.500,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
10º,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
110dun:uuc,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,DETERMINISMO OPTIMISTA,0,1,0,0,0,NA
116sric:o,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
11foccon:ra,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
11i,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
11llnpmrnud,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
11ov,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
"12,7",1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,economia
150.000,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,telecomunicaciones
"16,7",1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,economia
"18,3",1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
"18,5",1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,educacion
1a.i,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
1bil1t,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,NA
1c.loun,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
1c:di,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,general
1c:han,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,general
1do,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,DETERMINISMO OPTIMISTA,0.5,0.5,0,0,0,ciencia_innovacion
1dos,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,general
1htloy,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
1jl,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,NA
1jot,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,general
1k1ttksc,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,DETERMINISMO OPTIMISTA,0,1,0,0,0,NA
1lini1,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,NA
1mi,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
1ml,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,NA
1nca1,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,DETERMINISMO OPTIMISTA,0,1,0,0,0,NA
1nlrol:scn1crura,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
1oform,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
1ra1998,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,NA
1scri.i,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
1sl:td:lrá,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,DETERMINISMO OPTIMISTA,0,1,0,0,0,NA
1un,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,DETERMINISMO OPTIMISTA,0,1,0,0,0,NA
1wrí1,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,general
1ño,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
1óndt,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
1óonal,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
"2,1",1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
"2,3",1,0,1,0,DETERMINISMO TECNOLÓGICO,0,1,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,ciencia_innovacion
"2,7",1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
2.0,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
2.100,1,0,1,0,DETERMINISMO TECNOLÓGICO,0,1,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,telecomunicaciones
2.650,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,NA
20.000,4,1,3,0.25,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,educacion
240.000,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
"3,2",1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
4.600,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
5.200,1,0,1,0,DETERMINISMO TECNOLÓGICO,0,1,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,educacion
5.300,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,energia
"6,3",1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,economia
6_41,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,general
"7,4",1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,telecomunicaciones
7.000,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
